"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"vax-dose","vax-dose","","","",0,*,"","","","null {[]} {[]}
","Dose of a Vaccine","Detailed information about each vaccination dose.","","","","","","","","","",,,,,"",,,,"Element",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"vax-dose.id","vax-dose.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"vax-dose.extension","vax-dose.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"vax-dose.doseId","vax-dose.doseId","","","",1,1,"","","","string {[]} {[]}
","Unique identifier for the dose.","Unique identifier for the dose.","","","","","","","","","",,,,,"",,,,"vax-dose.doseId",1,1,"",""
"vax-dose.volume","vax-dose.volume","","","",0,1,"","","","decimal {[]} {[]}
","Volume of the vaccine administered.","Volume of the vaccine administered.","","","","","","","","","",,,,,"",,,,"vax-dose.volume",0,1,"",""
"vax-dose.dateGiven","vax-dose.dateGiven","","","",1,1,"","","","dateTime {[]} {[]}
","Date the vaccine was administered.","Date the vaccine was administered.","","","","","","","","","",,,,,"",,,,"vax-dose.dateGiven",1,1,"",""
"vax-dose.cvx","vax-dose.cvx","","","",1,1,"","","","code {[]} {[]}
","CVX code for the vaccine administered.","CVX code for the vaccine administered.","","","","","","","","","",,,,,"",,,,"vax-dose.cvx",1,1,"",""
"vax-dose.mvx","vax-dose.mvx","","","",0,1,"","","","string {[]} {[]}
","Manufacturer's vaccine code.","Manufacturer's vaccine code.","","","","","","","","","",,,,,"",,,,"vax-dose.mvx",0,1,"",""
"vax-dose.antigens","vax-dose.antigens","","","",0,*,"","","","CodeableConcept {[]} {[]}
","List of antigens in the vaccine.","List of antigens in the vaccine.","","","","","","","","","",,,,,"",,,,"vax-dose.antigens",0,*,"",""
"vax-dose.dob","vax-dose.dob","","","",1,1,"","","","date {[]} {[]}
","Date of birth of the recipient.","Date of birth of the recipient.","","","","","","","","","",,,,,"",,,,"vax-dose.dob",1,1,"",""
"vax-dose.targetDisease","vax-dose.targetDisease","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Target disease for the vaccine.","Target disease for the vaccine.","","","","","","","","","",,,,,"",,,,"vax-dose.targetDisease",0,1,"",""
