"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Vaccine","Vaccine","Vaccine","","","",0,*,"","","","null {[]} {[]}
","Vaccine","Simple vaccine to easily obtain needed information for forecasting","","","","","","","","","",,,,,"",,,,"Element",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Vaccine","Vaccine.id","Vaccine.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Vaccine","Vaccine.extension","Vaccine.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Vaccine","Vaccine.vaccineType","Vaccine.vaccineType","","","",0,1,"","","Y","string {[]} {[]}
","vaccineType","vaccineType","","","","","","","","","",,,,,"",,,,"Vaccine.vaccineType",0,1,"",""
"Vaccine","Vaccine.cvx","Vaccine.cvx","","","",0,1,"","","Y","string {[]} {[]}
","cvx","cvx","","","","","","","","","",,,,,"",,,,"Vaccine.cvx",0,1,"",""
"Vaccine","Vaccine.beginAge","Vaccine.beginAge","","","",0,1,"","","Y","string {[]} {[]}
","beginAge","beginAge","","","","","","","","","",,,,,"",,,,"Vaccine.beginAge",0,1,"",""
"Vaccine","Vaccine.endAge","Vaccine.endAge","","","",0,1,"","","Y","string {[]} {[]}
","endAge","endAge","","","","","","","","","",,,,,"",,,,"Vaccine.endAge",0,1,"",""
"Vaccine","Vaccine.tradeName","Vaccine.tradeName","","","",0,1,"","","Y","string {[]} {[]}
","tradeName","tradeName","","","","","","","","","",,,,,"",,,,"Vaccine.tradeName",0,1,"",""
"Vaccine","Vaccine.mvx","Vaccine.mvx","","","",0,1,"","","Y","string {[]} {[]}
","mvx","mvx","","","","","","","","","",,,,,"",,,,"Vaccine.mvx",0,1,"",""
"Vaccine","Vaccine.volume","Vaccine.volume","","","",0,1,"","","Y","string {[]} {[]}
","volume","volume","","","","","","","","","",,,,,"",,,,"Vaccine.volume",0,1,"",""
"Vaccine","Vaccine.forecastVaccineType","Vaccine.forecastVaccineType","","","",0,1,"","","Y","string {[]} {[]}
","forecastVaccineType","forecastVaccineType","","","","","","","","","",,,,,"",,,,"Vaccine.forecastVaccineType",0,1,"",""
"antigen-supporting-data","antigen-supporting-data","antigen-supporting-data","","","",0,*,"","","","null {[]} {[]}
","Antigen Supporting Data","A resource to store supporting data for antigens including target disease, vaccine groups, immunity criteria, contraindications, and vaccination series.","","","","","","","","","",,,,,"",,,,"Element",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"antigen-supporting-data","antigen-supporting-data.id","antigen-supporting-data.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"antigen-supporting-data","antigen-supporting-data.extension","antigen-supporting-data.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"antigen-supporting-data","antigen-supporting-data.targetDisease","antigen-supporting-data.targetDisease","","","",0,1,"","","","CodeableConcept {[]} {[]}
","The disease that the vaccine targets.","The disease that the vaccine targets.","","","","","","","","","",,,,,"",,,,"antigen-supporting-data.targetDisease",0,1,"",""
