"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"live-virus-conflict","live-virus-conflict","","","",0,*,"","","","null {[]} {[]}
","Live Virus Conflict","This profile captures potential conflicts between live virus vaccines based on previous and current vaccinations and the required time intervals to avoid interference.","","","","","","","","","",,,,,"",,,,"Element",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"live-virus-conflict.id","live-virus-conflict.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"live-virus-conflict.extension","live-virus-conflict.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"live-virus-conflict.previous","live-virus-conflict.previous","","","",1,1,"","","Y","BackboneElement {[]} {[]}
","Details about the previous vaccination.","Details about the previous vaccination.","","","","","","","","","",,,,,"",,,,"live-virus-conflict.previous",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"live-virus-conflict.previous.id","live-virus-conflict.previous.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"live-virus-conflict.previous.extension","live-virus-conflict.previous.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"live-virus-conflict.previous.modifierExtension","live-virus-conflict.previous.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"live-virus-conflict.previous.vaccineType","live-virus-conflict.previous.vaccineType","","","",1,1,"","","Y","string {[]} {[]}
","Type of the previous vaccine.","Type of the previous vaccine.","","","","","","","","","",,,,,"",,,,"live-virus-conflict.previous.vaccineType",1,1,"",""
"live-virus-conflict.previous.cvx","live-virus-conflict.previous.cvx","","","",1,1,"","","Y","string {[]} {[]}
","CVX code for the previous vaccine.","CVX code for the previous vaccine.","","","","","","","","","",,,,,"",,,,"live-virus-conflict.previous.cvx",1,1,"",""
"live-virus-conflict.current","live-virus-conflict.current","","","",1,1,"","","Y","BackboneElement {[]} {[]}
","Details about the current vaccination.","Details about the current vaccination.","","","","","","","","","",,,,,"",,,,"live-virus-conflict.current",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"live-virus-conflict.current.id","live-virus-conflict.current.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"live-virus-conflict.current.extension","live-virus-conflict.current.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"live-virus-conflict.current.modifierExtension","live-virus-conflict.current.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"live-virus-conflict.current.vaccineType","live-virus-conflict.current.vaccineType","","","",1,1,"","","Y","string {[]} {[]}
","Type of the current vaccine.","Type of the current vaccine.","","","","","","","","","",,,,,"",,,,"live-virus-conflict.current.vaccineType",1,1,"",""
"live-virus-conflict.current.cvx","live-virus-conflict.current.cvx","","","",1,1,"","","Y","string {[]} {[]}
","CVX code for the current vaccine.","CVX code for the current vaccine.","","","","","","","","","",,,,,"",,,,"live-virus-conflict.current.cvx",1,1,"",""
"live-virus-conflict.conflictBeginInterval","live-virus-conflict.conflictBeginInterval","","","",1,1,"","","Y","string {[]} {[]}
","Time interval before which a conflict begins after the previous vaccination.","Time interval before which a conflict begins after the previous vaccination.","","","","","","","","","",,,,,"",,,,"live-virus-conflict.conflictBeginInterval",1,1,"",""
"live-virus-conflict.minConflictEndInterval","live-virus-conflict.minConflictEndInterval","","","",1,1,"","","Y","string {[]} {[]}
","Minimum time interval after which the conflict might end.","Minimum time interval after which the conflict might end.","","","","","","","","","",,,,,"",,,,"live-virus-conflict.minConflictEndInterval",1,1,"",""
"live-virus-conflict.conflictEndInterval","live-virus-conflict.conflictEndInterval","","","",1,1,"","","Y","string {[]} {[]}
","Time interval after which the conflict ends.","Time interval after which the conflict ends.","","","","","","","","","",,,,,"",,,,"live-virus-conflict.conflictEndInterval",1,1,"",""
